SEX_LBL,AGE_BAND,EDU_BAND,n,approvals,approval_rate,mean_limit,borderline_appr,disadvantaged
F,20s,grad,2516,1026,0.40779014308426076,151685.2146263911,109,False
F,20s,hs,565,161,0.2849557522123894,106123.89380530974,26,True
F,20s,other,90,37,0.4111111111111111,145444.44444444444,6,False
F,20s,univ,3166,955,0.3016424510423247,119229.3114339861,102,True
F,30s,grad,2575,1319,0.5122330097087379,244306.79611650485,109,False
F,30s,hs,788,278,0.35279187817258884,155685.27918781727,15,False
F,30s,other,110,62,0.5636363636363636,206727.27272727274,5,False
F,30s,univ,3200,1166,0.364375,180193.75,123,False
F,40s,grad,880,431,0.48977272727272725,254568.18181818182,33,False
F,40s,hs,965,330,0.34196891191709844,133046.63212435233,32,True
F,40s,other,72,33,0.4583333333333333,197500.0,3,False
F,40s,univ,1776,674,0.3795045045045045,172565.31531531533,77,False
F,50s,grad,231,118,0.5108225108225108,250086.5800865801,10,False
F,50s,hs,525,144,0.2742857142857143,114895.23809523809,16,True
F,50s,other,24,6,0.25,220833.33333333334,0,False
F,50s,univ,469,167,0.35607675906183367,159722.8144989339,20,False
F,60+,grad,29,9,0.3103448275862069,241379.3103448276,0,False
F,60+,hs,84,19,0.2261904761904762,121666.66666666667,2,True
F,60+,other,2,1,0.5,235000.0,0,False
F,60+,univ,45,12,0.26666666666666666,182444.44444444444,2,False
M,20s,grad,1182,488,0.4128595600676819,144712.3519458545,54,False
M,20s,hs,384,108,0.28125,74739.58333333333,18,True
M,20s,other,50,23,0.46,123200.0,2,False
M,20s,univ,1665,448,0.2690690690690691,94030.03003003003,70,True
M,30s,grad,1882,834,0.44314558979808716,238873.53878852286,63,False
M,30s,hs,554,179,0.3231046931407942,142960.28880866425,15,True
M,30s,other,52,20,0.38461538461538464,204423.07692307694,1,False
M,30s,univ,2077,664,0.31969186326432353,155695.7149735195,82,True
M,40s,grad,906,401,0.44260485651214126,257924.94481236202,17,False
M,40s,hs,631,179,0.2836767036450079,123736.41838351822,35,True
M,40s,other,49,25,0.5102040816326531,182367.3469387755,6,False
M,40s,univ,1185,394,0.33248945147679326,147510.54852320676,45,True
M,50s,grad,321,123,0.38317757009345793,257383.17757009345,12,False
M,50s,hs,365,97,0.26575342465753427,124630.13698630137,11,True
M,50s,other,17,5,0.29411764705882354,161764.70588235295,2,True
M,50s,univ,389,100,0.2570694087403599,140231.36246786633,16,True
M,60+,grad,63,22,0.3492063492063492,281111.1111111111,1,False
M,60+,hs,56,14,0.25,164464.2857142857,1,False
M,60+,other,2,1,0.5,280000.0,0,False
M,60+,univ,58,16,0.27586206896551724,177586.2068965517,3,False
